foundid,id,name,party,partyLabel,votes,election,electionLabel,ranking
,Q20631177,Claire Hanna,Q175443,Social Democratic and Labour Party,27079,Q30173038,General election 2019,1
,Q21234823,Emma Little-Pengelly,Q215519,Democratic Unionist Party,11678,Q30173038,General election 2019,2
,Q24052780,Paula Bradshaw,Q244927,Alliance Party of Northern Ireland,6786,Q30173038,General election 2019,3
Q76119839,,Michael Henderson,Q841045,Ulster Unionist Party,1259,Q30173038,General election 2019,4
Q76120053,,Chris McHugh,Q61090509,Aontú,550,Q30173038,General election 2019,5
,Q21234823,Emma Little-Pengelly,Q215519,Democratic Unionist Party,13299,Q25052149,General election 2017,1
,Q583571,Alasdair McDonnell,Q175443,Social Democratic and Labour Party,11303,Q25052149,General election 2017,2
,Q24052780,Paula Bradshaw,Q244927,Alliance Party of Northern Ireland,7946,Q25052149,General election 2017,3
,Q13586248,Máirtín Ó Muilleoir,Q76382,Sinn Féin,7143,Q25052149,General election 2017,4
,Q24052779,Clare Bailey,Q1096979,Green Party of Northern Ireland,2241,Q25052149,General election 2017,5
Q76119839,,Michael Henderson,Q841045,Ulster Unionist Party,1527,Q25052149,General election 2017,6
,,Clare Salier,Q7058484,Northern Ireland Conservatives,246,Q25052149,General election 2017,7
,Q583571,Alasdair McDonnell,Q175443,Social Democratic and Labour Party,9560,Q3586935,General election 2015,1
,Q6272557,Jonathan Bell,Q215519,Democratic Unionist Party,8654,Q3586935,General election 2015,2
,Q24052780,Paula Bradshaw,Q244927,Alliance Party of Northern Ireland,6711,Q3586935,General election 2015,3
,Q13586248,Máirtín Ó Muilleoir,Q76382,Sinn Féin,5402,Q3586935,General election 2015,4
Q98263744,,Rodney McCune,Q841045,Ulster Unionist Party,3549,Q3586935,General election 2015,5
,Q24052779,Clare Bailey,Q1096979,Green Party of Northern Ireland,2238,Q3586935,General election 2015,6
,Q4934101,Bob Stoker,Q10647,UK Independence Party,1900,Q3586935,General election 2015,7
,,Ben Manton,Q7058484,Northern Ireland Conservatives,582,Q3586935,General election 2015,8
,,Lily Kerr,Q1860218,Workers' Party of Ireland,361,Q3586935,General election 2015,9
,Q583571,Alasdair McDonnell,Q175443,Social Democratic and Labour Party,14026,Q215622,General election 2010,1
,Q6201345,Jimmy Spratt,Q215519,Democratic Unionist Party,8100,Q215622,General election 2010,2
,Q24052780,Paula Bradshaw,Q7879942,Ulster Conservatives and Unionists,5910,Q215622,General election 2010,3
,Q434460,Anna Lo,Q244927,Alliance Party of Northern Ireland,5114,Q215622,General election 2010,4
,,Adam McGibbon,Q1096979,Green Party of Northern Ireland,1036,Q215622,General election 2010,5
,Q583571,Alasdair McDonnell,Q175443,Social Democratic and Labour Party,10339,Q428598,General election 2005,1
,Q6201345,Jimmy Spratt,Q215519,Democratic Unionist Party,9104,Q428598,General election 2005,2
,Q6832692,Michael McGimpsey,Q841045,Ulster Unionist Party,7263,Q428598,General election 2005,3
,Q1116655,Alex Maskey,Q76382,Sinn Féin,2882,Q428598,General election 2005,4
,,Geraldine Rice,Q244927,Alliance Party of Northern Ireland,2012,Q428598,General election 2005,5
Q98247426,,Lynda Gilby,Q6739060,Vote For Yourself Rainbow Dream Ticket,235,Q428598,General election 2005,6
,,Paddy Lynn,Q1860218,Workers' Party of Ireland,193,Q428598,General election 2005,7
,Q6776629,Martin Smyth,Q841045,Ulster Unionist Party,17008,Q590740,General election 2001,1
,Q583571,Alasdair McDonnell,Q175443,Social Democratic and Labour Party,11609,Q590740,General election 2001,2
,Q6900013,Monica McWilliams,Q7058538,Northern Ireland Women's Coalition,2968,Q590740,General election 2001,3
,Q1116655,Alex Maskey,Q76382,Sinn Féin,2894,Q590740,General election 2001,4
,,Geraldine Rice,Q244927,Alliance Party of Northern Ireland,2042,Q590740,General election 2001,5
,Q5242494,Dawn Purvis,Q1817613,Progressive Unionist Party,1112,Q590740,General election 2001,6
,,Paddy Lynn,Q1860218,Workers' Party of Ireland,204,Q590740,General election 2001,7
,Q7284637,Rainbow George Weiss,Q6739060,Vote For Yourself Rainbow Dream Ticket,115,Q590740,General election 2001,8
,Q6776629,Martin Smyth,Q841045,Ulster Unionist Party,14201,Q918503,General election 1997,1
,Q583571,Alasdair McDonnell,Q175443,Social Democratic and Labour Party,9601,Q918503,General election 1997,2
,Q241830,David Ervine,Q1817613,Progressive Unionist Party,5687,Q918503,General election 1997,3
,Q7613309,Steve McBride,Q244927,Alliance Party of Northern Ireland,5112,Q918503,General election 1997,4
,,Seán Hayes,Q76382,Sinn Féin,2019,Q918503,General election 1997,5
,,Annie Campbell,Q7058538,Northern Ireland Women's Coalition,1204,Q918503,General election 1997,6
,,Myrtle Boal,Q7058484,Northern Ireland Conservatives,962,Q918503,General election 1997,7
,,Niall Cusack,Q327591,Independent Labour,292,Q918503,General election 1997,8
,,Paddy Lynn,Q1860218,Workers' Party of Ireland,286,Q918503,General election 1997,9
Q98272018,,James Anderson,Q491782,Natural Law Party,120,Q918503,General election 1997,10
,Q6776629,Martin Smyth,Q841045,Ulster Unionist Party,16336,Q543609,General election 1992,1
,Q583571,Alasdair McDonnell,Q175443,Social Democratic and Labour Party,6266,Q543609,General election 1992,2
,,John Montgomery,Q244927,Alliance Party of Northern Ireland,5054,Q543609,General election 1992,3
,,Andrew Fee,Q7058484,Northern Ireland Conservatives,3356,Q543609,General election 1992,4
,,Seán Hayes,Q76382,Sinn Féin,1123,Q543609,General election 1992,5
,Q7174470,Peter Hadden,Q6467537,Labour and Trade Union Group,875,Q543609,General election 1992,6
,,Paddy Lynn,Q1860218,Workers' Party of Ireland,362,Q543609,General election 1992,7
,,Teresa Mullen,Q491782,Natural Law Party,212,Q543609,General election 1992,8
,Q6776629,Martin Smyth,Q841045,Ulster Unionist Party,18917,Q918472,General election 1987,1
,Q16205288,David Cook,Q244927,Alliance Party of Northern Ireland,6963,Q918472,General election 1987,2
,Q583571,Alasdair McDonnell,Q175443,Social Democratic and Labour Party,4268,Q918472,General election 1987,3
,,Gerard Carr,Q1860218,Workers' Party of Ireland,1528,Q918472,General election 1987,4
,,Seán McKnight,Q76382,Sinn Féin,1030,Q918472,General election 1987,5
,Q6776629,Martin Smyth,Q841045,Ulster Unionist Party,21771,Q20979151,By-election 1986,1
,Q16205288,David Cook,Q244927,Alliance Party of Northern Ireland,7635,Q20979151,By-election 1986,2
